Date,Open,High,Low,Close,Volume,Adj Close*
17-Mar-14,"16,066.37","16,270.34","16,066.37","16,247.22","88,930,000","16,247.22"
14-Mar-14,"16,106.32","16,165.05","16,046.99","16,065.67","85,660,000","16,065.67"
13-Mar-14,"16,341.55","16,405.07","16,084.10","16,108.89","86,160,000","16,108.89"
12-Mar-14,"16,350.67","16,364.74","16,260.03","16,340.08","77,900,000","16,340.08"
11-Mar-14,"16,419.39","16,460.33","16,325.17","16,351.25","78,150,000","16,351.25"
10-Mar-14,"16,453.10","16,453.10","16,334.20","16,418.68","68,210,000","16,418.68"
7-Mar-14,"16,424.53","16,505.70","16,398.86","16,452.72","80,690,000","16,452.72"
6-Mar-14,"16,360.56","16,450.17","16,360.56","16,421.89","75,900,000","16,421.89"
5-Mar-14,"16,395.88","16,406.55","16,343.96","16,360.18","73,980,000","16,360.18"
4-Mar-14,"16,169.32","16,419.49","16,169.32","16,395.88","96,120,000","16,395.88"
3-Mar-14,"16,321.71","16,321.71","16,071.25","16,168.03","92,760,000","16,168.03"
28-Feb-14,"16,273.23","16,398.95","16,226.09","16,321.71","122,110,000","16,321.71"
27-Feb-14,"16,197.70","16,276.28","16,159.81","16,272.65","97,640,000","16,272.65"
26-Feb-14,"16,180.36","16,252.35","16,155.86","16,198.41","93,980,000","16,198.41"
25-Feb-14,"16,207.34","16,254.26","16,147.25","16,179.66","99,470,000","16,179.66"
24-Feb-14,"16,102.27","16,300.04","16,102.27","16,207.14","244,580,000","16,207.14"
21-Feb-14,"16,135.92","16,191.92","16,093.80","16,103.30","126,580,000","16,103.30"
20-Feb-14,"16,044.15","16,161.64","16,006.59","16,133.23","77,720,000","16,133.23"
19-Feb-14,"16,126.23","16,225.72","16,031.66","16,040.56","80,560,000","16,040.56"
18-Feb-14,"16,153.97","16,167.33","16,107.04","16,130.40","91,250,000","16,130.40"
14-Feb-14,"16,018.08","16,175.55","15,985.39","16,154.39","84,060,000","16,154.39"
13-Feb-14,"15,946.99","16,039.37","15,863.25","16,027.59","99,470,000","16,027.59"
12-Feb-14,"15,993.04","16,036.56","15,928.75","15,963.94","77,310,000","15,963.94"
11-Feb-14,"15,804.17","16,027.19","15,803.40","15,994.77","95,930,000","15,994.77"
10-Feb-14,"15,793.63","15,801.79","15,733.69","15,801.79","84,110,000","15,801.79"
7-Feb-14,"15,630.64","15,798.51","15,625.53","15,794.08","1,057,820,000","15,794.08"
6-Feb-14,"15,443.83","15,632.09","15,443.00","15,628.53","106,980,000","15,628.53"
5-Feb-14,"15,443.00","15,478.21","15,340.69","15,440.23","105,130,000","15,440.23"
4-Feb-14,"15,372.93","15,481.85","15,356.62","15,445.24","124,110,000","15,445.24"
3-Feb-14,"15,697.69","15,708.54","15,356.17","15,372.80","151,050,000","15,372.80"
31-Jan-14,"15,847.19","15,847.19","15,617.55","15,698.85","137,090,000","15,698.85"
30-Jan-14,"15,743.03","15,907.53","15,733.27","15,848.61","92,100,000","15,848.61"
29-Jan-14,"15,927.08","15,927.08","15,708.98","15,738.79","109,590,000","15,738.79"
28-Jan-14,"15,840.84","15,945.89","15,840.84","15,928.56","89,110,000","15,928.56"
27-Jan-14,"15,879.05","15,942.77","15,783.55","15,837.88","127,540,000","15,837.88"
24-Jan-14,"16,203.29","16,203.29","15,879.11","15,879.11","141,450,000","15,879.11"
23-Jan-14,"16,371.99","16,372.96","16,140.58","16,197.35","100,540,000","16,197.35"
22-Jan-14,"16,420.48","16,453.49","16,332.98","16,373.34","87,470,000","16,373.34"
21-Jan-14,"16,459.27","16,520.60","16,316.25","16,414.44","111,570,000","16,414.44"
17-Jan-14,"16,408.02","16,495.26","16,378.80","16,458.56","184,970,000","16,458.56"
16-Jan-14,"16,477.70","16,477.70","16,375.56","16,417.01","87,370,000","16,417.01"
15-Jan-14,"16,378.03","16,505.28","16,376.78","16,481.94","101,130,000","16,481.94"
14-Jan-14,"16,261.99","16,373.92","16,260.83","16,373.86","98,610,000","16,373.86"
13-Jan-14,"16,434.03","16,453.13","16,240.60","16,257.94","111,680,000","16,257.94"
10-Jan-14,"16,453.62","16,487.65","16,379.02","16,437.05","85,190,000","16,437.05"
